test_id,test,expected,observed,status,detail
F10,no applicable rung/fold selects a lambda on a grid boundary,0,0,PASS,"EPV 0.90 to 3.80, below the applicability threshold of 10, so G6 is live at every rung and fold"
F2,the D2 rescaled base re-fitted here reproduces the committed Amendment 4 artefact to 1e-12,< 1e-12,0.000e+00,PASS,"re-fitted rather than read, so the E1c - D2rescaled delta is a genuinely PAIRED bootstrap from one process. This is also what would catch a fold-dependent column leaking into the control arm"
F11b,every artefact read for comparison aligns row-for-row with this rung's pooled ordering,aligned,aligned,PASS,"all sorted by (season, date, home, away), result columns compared elementwise against this instrument's own ordering"
F11c,the E1b rung refitted here reproduces its committed pooled log loss,< 1e-12,2.220e-16,PASS,"E1b wrote its features but not its probabilities, so the E1c - E1b delta needs it refitted here to be PAIRED. Checked against the committed artefact rather than the report's rounded figure, so a refit that is not E1b cannot pass unnoticed"
F8-D2_rescaled,pooled log loss equals the unweighted mean of the four fold values at D2_rescaled,< 1e-12,0.000e+00,PASS,"exactly 380 test rows per fold, so the two routes to the same number must agree. That identity has caught two bugs"
F8-E1c,pooled log loss equals the unweighted mean of the four fold values at E1c,< 1e-12,1.110e-16,PASS,"exactly 380 test rows per fold, so the two routes to the same number must agree. That identity has caught two bugs"
DS0,with an all-False mask the local pipeline reproduces I4.fit_pipeline bit-for-bit,0.0,0.000e+00,PASS,"the pass-through rule of section 6 is the ONLY difference between them; anchoring it here is what makes the new code path readable as Phase 3's, plus one declared change"
DS0b,design columns passing through unstandardised,,11,INFO,"section 6: boolean and indicator columns are neither centred nor scaled. Classified by column KIND, never by observed values"
DS1a,"DC state is invariant to corrupting every match from the cutoff onward, at 6 probe dates",0.0,0.000e+00,PASS,"the window is matches with date STRICTLY < cutoff, so nothing at or after the cutoff can reach the fit. Tested by corruption rather than by re-reading the filter"
DS1b,"every Elo before-rating follows from earlier matches alone, under Phase 2's declared season-transition policy",< 1e-9,0.000e+00,PASS,"3800 before-ratings checked against continuing / promoted / returning-after-absence, the three cases of Phase 1's transition table. A before-rating that is a pure function of the team's own earlier matches cannot carry information from later ones"
DS1c,each match's DC fitting window is exactly the count of matches strictly earlier in date,0,0,PASS,"an off-by-one here would put same-day matches into their own fitting window, which is the classic form of this leak"
DS2-fold1,no outer-test row appears in any outer or inner training set,0,0,PASS,"checked across every rung, every outer fold and every inner fold"
DS2b-fold1,the fitted scaler reproduces exactly from the training rows alone,0.0,0.000e+00,PASS,"recomputed independently of the pipeline, from the training rows only; a test row leaking into the scaler would move this"
G10-fold1,no column takes the zero-scale guard while actually varying,0,0,PASS,"the guard means 'this column is constant, so do not scale it'. Where the column is NOT constant the guard leaves it in raw units inside a penalised fit. Offenders: none"
DS2-fold2,no outer-test row appears in any outer or inner training set,0,0,PASS,"checked across every rung, every outer fold and every inner fold"
DS2b-fold2,the fitted scaler reproduces exactly from the training rows alone,0.0,0.000e+00,PASS,"recomputed independently of the pipeline, from the training rows only; a test row leaking into the scaler would move this"
G10-fold2,no column takes the zero-scale guard while actually varying,0,0,PASS,"the guard means 'this column is constant, so do not scale it'. Where the column is NOT constant the guard leaves it in raw units inside a penalised fit. Offenders: none"
DS2-fold3,no outer-test row appears in any outer or inner training set,0,0,PASS,"checked across every rung, every outer fold and every inner fold"
DS2b-fold3,the fitted scaler reproduces exactly from the training rows alone,0.0,0.000e+00,PASS,"recomputed independently of the pipeline, from the training rows only; a test row leaking into the scaler would move this"
G10-fold3,no column takes the zero-scale guard while actually varying,0,0,PASS,"the guard means 'this column is constant, so do not scale it'. Where the column is NOT constant the guard leaves it in raw units inside a penalised fit. Offenders: none"
DS2-fold4,no outer-test row appears in any outer or inner training set,0,0,PASS,"checked across every rung, every outer fold and every inner fold"
DS2b-fold4,the fitted scaler reproduces exactly from the training rows alone,0.0,0.000e+00,PASS,"recomputed independently of the pipeline, from the training rows only; a test row leaking into the scaler would move this"
G10-fold4,no column takes the zero-scale guard while actually varying,0,0,PASS,"the guard means 'this column is constant, so do not scale it'. Where the column is NOT constant the guard leaves it in raw units inside a penalised fit. Offenders: none"
DS3a,design widths match Amendment 3's table A3.2,"{'D1': 88, 'D2': 92, 'D3': 112, 'D4': 139}","{'D1': 88, 'D2': 92, 'D3': 112, 'D4': 139}",PASS,"D3 and D4 are NOT fitted in this session; their widths are computed from the frozen feature file, which is what DS3's nesting claim needs and is not a fit"
DS3b,strict nesting D1 < D2 < D3 < D4,strictly increasing,"[88, 92, 112, 139]",PASS,the ladder is nested by construction - each rung is the previous column set plus its own
DS3c,D2's columns are D1's columns plus exactly the four dynamic-state columns,92,92,PASS,"checked on the built matrices, not on the feature lists"
DS4a,corrupting 2025-2026's features moves no selected lambda,0,0,PASS,"E1c_c4_reference, all four folds re-selected on the corrupted matrix"
DS4b,corrupting 2025-2026's features moves no OTHER fold's predictions,0.0,0.000e+00,PASS,"2025-2026 is the only season that is a test season and never a training season, so this assertion is not true by construction"
DS4c,CONTROL: its own fold's predictions DO move,> 0,9.386e-01,PASS,without this the two checks above would pass on a corruption that never landed
DS5,corrupting 2025-2026's labels moves no selected lambda,0,0,PASS,labels of an outer-test season enter scoring and nothing else; if they reached the inner CV this would move
DS6,D0 reproduces Phase 2's frozen base rate on all six metrics and all three class rates,< 1e-9,0.000e+00,PASS,"all four folds; D0 is Phase 2's baseline re-derived, so any divergence would mean the fold structure had moved under it"
DS8a,a second full run of every fitted rung reproduces every probability bit-for-bit,0.0,0.000e+00,PASS,"Newton from a zero start on a strictly convex objective, and a seeded bootstrap; nothing here should have a source of variation"
DS8b,and selects the same lambda at every fold,0,0,PASS,the selection is a deterministic minimum with a declared tie-break
DS9,every rung's pooled and per-fold output passes the harness's validate_probabilities,0,0,PASS,"2 probability arrays checked. The harness raises rather than repairing, so a renormalised break cannot pass silently"
DS10,frozen_manifest.py --verify: no frozen artefact moved hash,0,0,PASS,  not cover. Re-run without --verify to adopt them.
DS11,extracted DC state through Phase 2's own outcome_probabilities() reproduces dc_walkforward,< 1e-9,1.110e-16,PASS,1520 test rows; extracted 0.9903635065 against Phase 2's four-fold mean 0.9903635065. The state D2 is built from is the state DC scored
DS12,every inner split has max(train date) STRICTLY < min(validation date),0,0,PASS,"32 inner splits across every fitted rung and fold; the tightest gap is 1 day(s). This is the constraint that forced the calendar date to replace the (season, matchweek) block"
F13,adding the finishing block disturbed no column of the frozen Phase 3 feature file,0,0,PASS,"the six columns are BUILT here, so DS7a's byte-identity claim is not available for them. What is asserted instead is that they disturbed nothing they sit beside, against a fresh re-read from disk. Disturbed: none"
